==PROF== Connected to process 22650 (/src/tools/tc-grid/build/tc-grid)
format,path,dist,M,N,K,tile,status,detail
CUBLAS_FP16,REF,U(-1,1),2048,7168,7168,cublas,OK,ms=2.439,tflops=86.28,gbps=66.2,maxabs=0.0e+0,p99=0.0e+0,rel=0.0e+0
INT8,LUT,U(-1,1),2048,7168,7168,16x64x32_w4,OK,ms=41.617,tflops=5.06,gbps=4.1,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,16x64x32_w4,OK,ms=60.438,tflops=3.48,gbps=2.8,maxabs=2.817e-02,p99=1.329e-02,rel=1.846e-04
INT8,LUT,U(-1,1),2048,7168,7168,16x128x32_w8,OK,ms=41.418,tflops=5.08,gbps=4.2,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,16x128x32_w8,OK,ms=57.435,tflops=3.66,gbps=3.0,maxabs=2.817e-02,p99=1.329e-02,rel=1.846e-04
INT8,LUT,U(-1,1),2048,7168,7168,16x128x32_w4f2,OK,ms=37.719,tflops=5.58,gbps=4.6,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,16x128x32_w4f2,SKIP,MF path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,16x256x32_w4f4,OK,ms=57.573,tflops=3.66,gbps=3.0,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,16x256x32_w4f4,SKIP,MF path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x64x32_w4_v1,OK,ms=17.025,tflops=12.36,gbps=10.1,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x64x32_w4_v1,SKIP,v1 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x128x32_w4_v1,OK,ms=21.701,tflops=9.70,gbps=7.9,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x128x32_w4_v1,SKIP,v1 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x256x32_w4_v1,OK,ms=37.575,tflops=5.60,gbps=4.6,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x256x32_w4_v1,SKIP,v1 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x256x32_w8_v1,OK,ms=20.244,tflops=10.40,gbps=8.5,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x256x32_w8_v1,SKIP,v1 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,64x64x32_w4_v1,OK,ms=19.158,tflops=10.98,gbps=9.0,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,64x64x32_w4_v1,SKIP,v1 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,64x128x32_w4_v1,OK,ms=24.400,tflops=8.63,gbps=7.1,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,64x128x32_w4_v1,SKIP,v1 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x64x32_w4_v2,OK,ms=12.978,tflops=16.22,gbps=13.3,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x64x32_w4_v2,SKIP,v2 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x128x32_w4_v2,OK,ms=11.645,tflops=18.07,gbps=14.8,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x128x32_w4_v2,SKIP,v2 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x256x32_w4_v2,OK,ms=20.654,tflops=10.19,gbps=8.3,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x256x32_w4_v2,SKIP,v2 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x256x32_w8_v2,OK,ms=9.836,tflops=21.40,gbps=17.5,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x256x32_w8_v2,SKIP,v2 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,64x64x32_w4_v2,OK,ms=13.392,tflops=15.71,gbps=12.8,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,64x64x32_w4_v2,SKIP,v2 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,64x128x32_w4_v2,OK,ms=9.857,tflops=21.35,gbps=17.5,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,64x128x32_w4_v2,SKIP,v2 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x64x32_w4_v3,OK,ms=10.056,tflops=20.93,gbps=17.1,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x64x32_w4_v3,SKIP,v3 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x128x32_w4_v3,OK,ms=7.639,tflops=27.55,gbps=22.5,maxabs=3.975e-02,p99=1.811e-02,rel=2.594e-04
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x128x32_w4_v3,SKIP,v3 path-B not implemented
INT8,LUT,U(-1,1),2048,7168,7168,128x256x32_w8_v3,SKIP,invalid argument
INT8,BITSHIFT,U(-1,1),2048,7168,7168,128x256x32_w8_v3,SKIP,v3 path-B not implemented
