device: Tesla V100-SXM2-32GB, cc=7.0, smem=48KiB/cta
format,path,dist,M,N,K,tile,status,detail
INT8,BITSHIFT,U(-1,1),16,4096,4096,16x128x32_w8,OK,ms=0.860,tflops=0.62,gbps=21.3,maxabs=1.649e-02,p99=1.010e-02,rel=1.857e-04
INT8,LUT,U(-1,1),16,4096,4096,16x128x64_w8,OK,ms=1.055,tflops=0.51,gbps=17.4,maxabs=2.375e-02,p99=1.438e-02,rel=2.601e-04
INT8,BITSHIFT,U(-1,1),16,4096,4096,16x128x64_w8,OK,ms=0.874,tflops=0.61,gbps=21.0,maxabs=1.649e-02,p99=1.010e-02,rel=1.857e-04
INT8,LUT,U(-1,1),32,4096,4096,16x64x32_w4,OK,ms=0.770,tflops=1.39,gbps=24.5,maxabs=2.434e-02,p99=1.437e-02,rel=2.602e-04
INT8,BITSHIFT,U(-1,1),32,4096,4096,16x64x32_w4,OK,ms=0.745,tflops=1.44,gbps=25.3,maxabs=1.749e-02,p99=1.018e-02,rel=1.857e-04
INT8,LUT,U(-1,1),32,4096,4096,16x64x64_w4,OK,ms=0.930,tflops=1.15,gbps=20.3,maxabs=2.434e-02,p99=1.437e-02,rel=2.602e-04
INT8,BITSHIFT,U(-1,1),32,4096,4096,16x64x64_w4,OK,ms=0.831,tflops=1.29,gbps=22.7,maxabs=1.749e-02,p99=1.018e-02,rel=1.857e-04
INT8,LUT,U(-1,1),32,4096,4096,16x128x32_w8,OK,ms=0.819,tflops=1.31,gbps=23.1,maxabs=2.434e-02,p99=1.437e-02,rel=2.602e-04
INT8,BITSHIFT,U(-1,1),32,4096,4096,16x128x32_w8,OK,ms=0.807,tflops=1.33,gbps=23.4,maxabs=1.749e-02,p99=1.018e-02,rel=1.857e-04
INT8,LUT,U(-1,1),32,4096,4096,16x128x64_w8,OK,ms=0.996,tflops=1.08,gbps=19.0,maxabs=2.434e-02,p99=1.437e-02,rel=2.602e-04
INT8,BITSHIFT,U(-1,1),32,4096,4096,16x128x64_w8,OK,ms=0.851,tflops=1.26,gbps=22.2,maxabs=1.749e-02,p99=1.018e-02,rel=1.857e-04
INT8,LUT,U(-1,1),64,4096,4096,16x64x32_w4,OK,ms=0.802,tflops=2.68,gbps=24.9,maxabs=2.856e-02,p99=1.437e-02,rel=2.601e-04
INT8,BITSHIFT,U(-1,1),64,4096,4096,16x64x32_w4,OK,ms=0.997,tflops=2.15,gbps=20.0,maxabs=1.964e-02,p99=1.017e-02,rel=1.852e-04
INT8,LUT,U(-1,1),64,4096,4096,16x64x64_w4,OK,ms=1.018,tflops=2.11,gbps=19.6,maxabs=2.856e-02,p99=1.437e-02,rel=2.601e-04
INT8,BITSHIFT,U(-1,1),64,4096,4096,16x64x64_w4,OK,ms=1.167,tflops=1.84,gbps=17.1,maxabs=1.964e-02,p99=1.017e-02,rel=1.852e-04
INT8,LUT,U(-1,1),64,4096,4096,16x128x32_w8,OK,ms=0.826,tflops=2.60,gbps=24.1,maxabs=2.856e-02,p99=1.437e-02,rel=2.601e-04
INT8,BITSHIFT,U(-1,1),64,4096,4096,16x128x32_w8,OK,ms=1.060,tflops=2.03,gbps=18.8,maxabs=1.964e-02,p99=1.017e-02,rel=1.852e-04
INT8,LUT,U(-1,1),64,4096,4096,16x128x64_w8,OK,ms=0.994,tflops=2.16,gbps=20.0,maxabs=2.856e-02,p99=1.437e-02,rel=2.601e-04
INT8,BITSHIFT,U(-1,1),64,4096,4096,16x128x64_w8,OK,ms=1.227,tflops=1.75,gbps=16.2,maxabs=1.964e-02,p99=1.017e-02,rel=1.852e-04
INT8,LUT,U(-1,1),1,7168,7168,16x64x32_w4,OK,ms=1.499,tflops=0.07,gbps=36.5,maxabs=2.655e-02,p99=1.900e-02,rel=2.590e-04
INT8,BITSHIFT,U(-1,1),1,7168,7168,16x64x32_w4,OK,ms=0.908,tflops=0.11,gbps=60.2,maxabs=1.870e-02,p99=1.344e-02,rel=1.818e-04
INT8,LUT,U(-1,1),1,7168,7168,16x64x64_w4,OK,ms=1.754,tflops=0.06,gbps=31.2,maxabs=2.655e-02,p99=1.900e-02,rel=2.590e-04
INT8,BITSHIFT,U(-1,1),1,7168,7168,16x64x64_w4,OK,ms=1.116,tflops=0.09,gbps=48.9,maxabs=1.870e-02,p99=1.344e-02,rel=1.818e-04
INT8,LUT,U(-1,1),1,7168,7168,16x128x32_w8,OK,ms=1.445,tflops=0.07,gbps=37.8,maxabs=2.655e-02,p99=1.900e-02,rel=2.590e-04
INT8,BITSHIFT,U(-1,1),1,7168,7168,16x128x32_w8,OK,ms=0.943,tflops=0.11,gbps=57.9,maxabs=1.870e-02,p99=1.344e-02,rel=1.818e-04
