INT8,LUT,U(-1,1),256,7168,18944,128x128x16_w4_v12_ms3,OK,ms=4.936,tflops=14.09,gbps=34.6,maxabs=6.439e+00,p99=1.574e+00,rel=8.873e-03
INT8,LUT,U(-1,1),256,7168,18944,128x128x16_w4_v13_rf_v6,OK,ms=1.780,tflops=39.06,gbps=96.1,maxabs=6.439e+00,p99=1.574e+00,rel=8.873e-03
INT8,LUT,U(-1,1),512,7168,18944,128x128x16_w4_v12_ms3,OK,ms=9.901,tflops=14.04,gbps=20.0,maxabs=7.312e+00,p99=1.617e+00,rel=8.880e-03
INT8,LUT,U(-1,1),512,7168,18944,128x128x16_w4_v13_rf_v6,OK,ms=6.235,tflops=22.30,gbps=31.7,maxabs=7.312e+00,p99=1.617e+00,rel=8.880e-03
INT8,LUT,U(-1,1),1024,7168,18944,128x128x16_w4_v12_ms3,OK,ms=14.248,tflops=19.52,gbps=17.6,maxabs=7.312e+00,p99=1.634e+00,rel=8.882e-03
INT8,LUT,U(-1,1),1024,7168,18944,128x128x16_w4_v13_rf_v6,OK,ms=10.737,tflops=25.90,gbps=23.4,maxabs=7.312e+00,p99=1.634e+00,rel=8.882e-03
INT8,LUT,U(-1,1),2048,7168,18944,128x128x16_w4_v12_ms3,OK,ms=49.194,tflops=11.31,gbps=7.3,maxabs=7.312e+00,p99=1.579e+00,rel=8.884e-03
INT8,LUT,U(-1,1),2048,7168,18944,128x128x16_w4_v13_rf_v6,OK,ms=35.450,tflops=15.69,gbps=10.1,maxabs=7.312e+00,p99=1.579e+00,rel=8.884e-03
INT8,LUT,U(-1,1),64,4096,4096,128x128x16_w4_v12_ms3,OK,ms=0.335,tflops=6.42,gbps=59.5,maxabs=1.037e+00,p99=3.311e-01,rel=4.147e-03
INT8,LUT,U(-1,1),64,4096,4096,128x128x16_w4_v13_rf_v6,OK,ms=0.291,tflops=7.37,gbps=68.4,maxabs=1.037e+00,p99=3.311e-01,rel=4.147e-03
