format,path,dist,M,N,K,tile,tflops_median,tflops_min,tflops_max,tflops_mean,ms_median,rel,maxabs,p99,n_runs
CUBLAS_FP16,REF,"U(-1,1)",1,7168,7168,cublas,0.560,0.560,0.570,0.564,0.1820,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",8,7168,7168,cublas,4.300,4.180,4.350,4.284,0.1910,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",32,7168,7168,cublas,15.040,14.650,15.280,15.014,0.2190,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",64,7168,7168,cublas,19.910,18.740,20.220,19.742,0.3300,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",256,7168,7168,cublas,56.020,55.850,56.480,56.120,0.4700,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",1024,7168,7168,cublas,95.410,83.960,96.570,93.330,1.1030,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",2048,7168,7168,cublas,98.430,86.570,99.170,96.292,2.1380,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",4096,7168,7168,cublas,97.970,87.050,98.280,95.826,4.2960,0.0e+0,0.0e+0,0.0e+0,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x64x32_w4,0.070,0.060,0.070,0.068,1.4660,2.590e-04,2.655e-02,1.872e-02,5
INT8,BITSHIFT,"U(-1,1)",1,7168,7168,16x64x32_w4,0.130,0.120,0.130,0.128,0.7940,1.818e-04,1.871e-02,1.282e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x128x32_w8,0.070,0.070,0.070,0.070,1.4370,2.590e-04,2.655e-02,1.872e-02,5
INT8,BITSHIFT,"U(-1,1)",1,7168,7168,16x128x32_w8,0.120,0.120,0.130,0.124,0.8260,1.818e-04,1.871e-02,1.282e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x128x32_w4f2,0.040,0.040,0.040,0.040,2.5440,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x256x32_w4f4,0.020,0.020,0.020,0.020,4.7830,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x64x32_w4_v1,0.050,0.040,0.050,0.048,2.1930,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x128x32_w4_v1,0.040,0.030,0.040,0.038,2.9220,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w4_v1,0.020,0.020,0.020,0.020,6.5590,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w8_v1,0.030,0.030,0.030,0.030,3.2890,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x64x32_w4_v1,0.060,0.060,0.060,0.060,1.7180,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x128x32_w4_v1,0.040,0.040,0.040,0.040,2.6560,2.590e-04,2.655e-02,1.872e-02,5
